Symbol,Company Name,Industry,Market Cap
ADP,Automatic Data Processing Inc.,Staffing & Employment Services,89.45B
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,1.08B
ADRT,Ault Disruptive Technologies Corporation,Shell Companies,151.66M
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,304.55M
ADSK,Autodesk Inc.,Software - Application,43.74B
ADT,ADT Inc.,Security & Protection Services,5.56B
ADTH,AdTheorent Holding Company Inc.,Advertising Agencies,156.30M
ADTN,ADTRAN Holdings Inc.,Communication Equipment,705.54M
ADTX,Aditxt Inc.,Biotechnology,3.99M
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1.51B
ADV,Advantage Solutions Inc.,Advertising Agencies,641.83M
ADVM,Adverum Biotechnologies Inc.,Biotechnology,121.70M
ADXN,Addex Therapeutics Ltd,Biotechnology,11.83M
AE,Adams Resources & Energy Inc.,Oil & Gas Refining & Marketing,86.94M
AEAE,AltEnergy Acquisition Corp.,Shell Companies,294.41M
AEE,Ameren Corporation,Utilities - Regulated Electric,21.32B
AEG,Aegon N.V.,Insurance - Diversified,9.33B
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,21.59M
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,1.17B
AEI,Alset EHome International Inc.,Real Estate - Development,16.99M
AEIS,Advanced Energy Industries Inc.,Electrical Equipment & Parts,3.73B
AEL,American Equity Investment Life Holding Company,Insurance - Life,3.17B
AEM,Agnico Eagle Mines Limited,Gold,25.68B
AEMD,Aethlon Medical Inc.,Medical Devices,7.24M
AENZ,Aenza S.A.A.,Engineering & Construction,162.79M
AEO,American Eagle Outfitters Inc.,Apparel Retail,2.18B
AEP,American Electric Power Company Inc.,Utilities - Regulated Electric,42.96B
AER,AerCap Holdings N.V.,Rental & Leasing Services,14.07B
AES,The AES Corporation,Utilities - Diversified,13.51B
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,1.71B
AEVA,Aeva Technologies Inc.,Auto Parts,310.71M
AEY,ADDvantage Technologies Group Inc.,Electronics & Computer Distribution,9.22M
AEYE,AudioEye Inc.,Software - Application,68.15M
AEZS,Aeterna Zentaris Inc.,Biotechnology,13.35M
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,153.30M
AFBI,Affinity Bancshares Inc.,Banks - Regional,79.60M
AFCG,AFC Gamma Inc.,REIT - Specialty,244.66M
AFG,American Financial Group Inc.,Insurance - Property & Casualty,9.94B
AFIB,Acutus Medical Inc.,Medical Devices,24.53M
AFL,Aflac Incorporated,Insurance - Life,40.24B
AFMD,Affimed N.V.,Biotechnology,131.07M
AFRI,Forafric Global PLC,Farm Products,292.98M
AFRM,Affirm Holdings Inc.,Software - Infrastructure,4.64B
AFTR,AfterNext HealthTech Acquisition Corp.,Shell Companies,322.50M
AFYA,Afya Limited,Education & Training Services,1.18B
AG,First Majestic Silver Corp.,Silver,1.63B
AGAC,African Gold Acquisition Corporation,Shell Companies,163.10M
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,39.27M
AGBA,AGBA Acquisition Limited,Shell Companies,99.30M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.94B
AGE,AgeX Therapeutics Inc.,Biotechnology,19.76M
AGEN,Agenus Inc.,Biotechnology,558.20M
AGFY,Agrify Corporation,Engineering & Construction,4.24M
AGI,Alamos Gold Inc.,Gold,4.85B
AGIL,AgileThought Inc.,Software - Application,36.94M
AGIO,Agios Pharmaceuticals Inc.,Biotechnology,1.45B
AGL,agilon health inc.,Medical Care Facilities,8.39B
AGLE,Aeglea BioTherapeutics Inc.,Biotechnology,8.37M
AGM,Federal Agricultural Mortgage Corporation,Credit Services,1.50B
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,1.44B
AGMH,AGM Group Holdings Inc.,Software - Application,43.02M
AGNC,AGNC Investment Corp.,REIT - Mortgage,5.64B
AGO,Assured Guaranty Ltd.,Insurance - Specialty,3.17B
AGR,Avangrid Inc.,Utilities - Regulated Electric,14.73B
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,6.30M
AGRO,Adecoagro S.A.,Farm Products,978.47M
AGRX,Agile Therapeutics Inc.,Drug Manufacturers - Specialty & Generic,4.31M
AGS,PlayAGS Inc.,Gambling,216.51M
AGTI,Agiliti Inc.,Health Information Services,2.31B
AGX,Argan Inc.,Engineering & Construction,551.17M
AGYS,Agilysys Inc.,Software - Application,1.97B
AHCO,AdaptHealth Corp.,Medical Devices,1.41B
AHG,Akso Health Group,Credit Services,7.86M
AHH,Armada Hoffler Properties Inc.,REIT - Diversified,1.01B
AHI,Advanced Human Imaging Limited,Software - Application,11.14M
AHRN,Ahren Acquisition Corp.,Shell Companies,393.94M
AHT,Ashford Hospitality Trust Inc.,REIT - Hotel & Motel,165.90M
AI,C3.ai Inc.,Information Technology Services,3.62B
AIB,AIB Acquisition Corporation,Shell Companies,38.83M
AIG,American International Group Inc.,Insurance - Diversified,39.95B
AIH,Aesthetic Medical International Holdings Group Limited,Medical Care Facilities,40.35M
AIHS,Senmiao Technology Limited,Credit Services,6.51M
AIM,AIM ImmunoTech Inc.,Biotechnology,21.54M
AIMAU,Aimfinity Investment Corp. I,Shell Companies,111.67M
AIMD,Ainos Inc.,Biotechnology,13.87M
AIN,Albany International Corp.,Textile Manufacturing,2.83B
AINC,Ashford Inc.,Asset Management,31.97M
AIP,Arteris Inc.,Semiconductors,251.12M
AIR,AAR Corp.,Aerospace & Defense,1.88B
AIRC,Apartment Income REIT Corp.,REIT - Residential,5.35B
AIRG,Airgain Inc.,Communication Equipment,59.63M
AIRI,Air Industries Group,Aerospace & Defense,11.90M
AIRS,AirSculpt Technologies Inc.,Medical Care Facilities,465.64M
AIRT,Air T Inc.,Integrated Freight & Logistics,78.19M
AIT,Applied Industrial Technologies Inc.,Industrial Distribution,5.13B
AIU,Meta Data Limited,Education & Training Services,20.02B
AIV,Apartment Investment and Management Company,REIT - Residential,1.29B
AIXI,Xiao-I Corporation,Software - Application,138.00M
AIZ,Assurant Inc.,Insurance - Specialty,6.56B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,44.07B
AJRD,Aerojet Rocketdyne Holdings Inc.,Aerospace & Defense,4.39B
AJX,Great Ajax Corp.,REIT - Mortgage,133.98M
AKA,a.k.a. Brands Holding Corp.,Internet Retail,53.61M
AKAM,Akamai Technologies Inc.,Software - Infrastructure,14.23B
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,2.80M
AKBA,Akebia Therapeutics Inc.,Biotechnology,204.52M
AKLI,Akili Inc.,Health Information Services,91.44M
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.25B
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.46B
AKR,Acadia Realty Trust,REIT - Retail,1.40B
AKRO,Akero Therapeutics Inc.,Biotechnology,2.59B
AKTS,Akoustis Technologies Inc.,Communication Equipment,237.13M
AKTX,Akari Therapeutics Plc,Biotechnology,16.39M
AKU,Akumin Inc.,Diagnostics & Research,34.39M
AKYA,Akoya Biosciences Inc.,Medical Instruments & Supplies,229.67M
AL,Air Lease Corporation,Rental & Leasing Services,4.47B
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,9.16M
ALB,Albemarle Corporation,Specialty Chemicals,24.45B
ALBT,Avalon GloboCare Corp.,Real Estate Services,19.01M
ALC,Alcon Inc.,Medical Instruments & Supplies,39.08B
ALCC,AltC Acquisition Corp.,Shell Companies,682.67M
ALCO,Alico Inc.,Farm Products,187.09M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,132.78M
ALDX,Aldeyra Therapeutics Inc.,Biotechnology,623.84M
ALE,ALLETE Inc.,Utilities - Diversified,3.50B
ALEC,Alector Inc.,Biotechnology,593.46M
ALEX,Alexander & Baldwin Inc.,REIT - Diversified,1.38B
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,2.14B
ALGM,Allegro MicroSystems Inc.,Semiconductors,7.57B
ALGN,Align Technology Inc.,Medical Devices,23.11B
ALGS,Aligos Therapeutics Inc.,Biotechnology,51.10M
ALGT,Allegiant Travel Company,Airlines,1.93B
ALHC,Alignment Healthcare Inc.,Healthcare Plans,1.19B
ALIM,Alimera Sciences Inc.,Drug Manufacturers - Specialty & Generic,23.60M
ALIT,Alight Inc.,Software - Application,4.94B
ALK,Alaska Air Group Inc.,Airlines,5.90B
ALKS,Alkermes plc,Biotechnology,4.90B
ALKT,Alkami Technology Inc.,Software - Application,1.38B
ALL,The Allstate Corporation,Insurance - Property & Casualty,28.93B
ALLE,Allegion plc,Security & Protection Services,9.61B
ALLG,Allego N.V.,Auto Parts,582.20M
ALLK,Allakos Inc.,Biotechnology,454.44M
ALLO,Allogene Therapeutics Inc.,Biotechnology,818.17M
ALLR,Allarity Therapeutics Inc.,Biotechnology,5.12M
ALLT,Allot Ltd.,Software - Infrastructure,102.17M
ALLY,Ally Financial Inc.,Credit Services,8.49B
ALNY,Alnylam Pharmaceuticals Inc.,Biotechnology,24.12B
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,76.14M
ALOT,AstroNova Inc.,Computer Hardware,123.89M
ALPA,Alpha Healthcare Acquisition Corp. III,Shell Companies,202.83M
ALPN,Alpine Immune Sciences Inc.,Biotechnology,505.08M
ALPP,Alpine 4 Holdings Inc.,Metal Fabrication,64.60M
ALPS,Alpine Summit Energy Partners Inc.,Oil & Gas E&P,24.36M
ALRM,Alarm.com Holdings Inc.,Software - Application,2.52B
ALRN,Aileron Therapeutics Inc.,Biotechnology,6.77M
ALRS,Alerus Financial Corporation,Banks - Regional,357.99M
ALSA,Alpha Star Acquisition Corporation,Shell Companies,156.46M
ALSN,Allison Transmission Holdings Inc.,Auto Parts,4.63B
ALT,Altimmune Inc.,Biotechnology,209.98M
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,469.34M
ALTI,AlTi Global Inc.,Asset Management,512.02M
ALTO,Alto Ingredients Inc.,Specialty Chemicals,160.58M
ALTR,Altair Engineering Inc.,Software - Infrastructure,6.02B
ALTU,Altitude Acquisition Corp.,Shell Companies,89.05M
ALV,Autoliv Inc.,Auto Parts,7.29B
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2.24B
ALVR,AlloVir Inc.,Biotechnology,370.61M
ALX,'Alexander''s Inc.',REIT - Retail,892.45M
ALXO,ALX Oncology Holdings Inc.,Biotechnology,340.03M
ALYA,Alithya Group Inc.,Information Technology Services,167.96M
ALZN,Alzamend Neuro Inc.,Biotechnology,70.40M
AM,Antero Midstream Corporation,Oil & Gas Midstream,5.14B
AMAL,Amalgamated Financial Corp.,Banks - Regional,474.48M
AMAM,Ambrx Biopharma Inc.,Biotechnology,824.02M
AMAO,American Acquisition Opportunity Inc.,Shell Companies,33.20M
AMAT,Applied Materials Inc.,Semiconductor Equipment & Materials,113.06B
AMBA,Ambarella Inc.,Semiconductor Equipment & Materials,3.03B
AMBC,Ambac Financial Group Inc.,Insurance - Specialty,640.40M
AMBI,Ambipar Emergency Response,Waste Management,332.58M
AMBO,Ambow Education Holding Ltd.,Education & Training Services,6.52M
AMBP,Ardagh Metal Packaging S.A.,Packaging & Containers,2.36B
AMC,AMC Entertainment Holdings Inc.,Entertainment,3.94B
AMCR,Amcor plc,Packaging & Containers,14.67B
AMCX,AMC Networks Inc.,Entertainment,506.39M
AMD,Advanced Micro Devices Inc.,Semiconductors,189.80B
AME,AMETEK Inc.,Specialty Industrial Machinery,34.73B
AMED,Amedisys Inc.,Medical Care Facilities,2.59B
AMEH,Apollo Medical Holdings Inc.,Medical Care Facilities,1.59B
AMG,Affiliated Managers Group Inc.,Asset Management,5.28B
AMGN,Amgen Inc.,Drug Manufacturers - General,116.52B
AMH,American Homes 4 Rent,REIT - Residential,14.42B
AMK,AssetMark Financial Holdings Inc.,Asset Management,2.14B
AMKR,Amkor Technology Inc.,Semiconductors,6.39B
AMLI,American Lithium Corp.,Other Industrial Metals & Mining,428.80M
AMLX,Amylyx Pharmaceuticals Inc.,Biotechnology,1.69B
AMN,AMN Healthcare Services Inc.,Medical Care Facilities,3.95B
AMNB,American National Bankshares Inc.,Banks - Regional,313.98M
AMOT,Allied Motion Technologies Inc.,Electronic Components,570.63M
AMP,Ameriprise Financial Inc.,Asset Management,32.97B
AMPE,Ampio Pharmaceuticals Inc.,Biotechnology,4.38M
AMPG,AmpliTech Group Inc.,Communication Equipment,23.32M
AMPH,Amphastar Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,2.25B
AMPL,Amplitude Inc.,Software - Application,1.14B
AMPS,Altus Power Inc.,Utilities - Renewable,798.13M
AMPX,Amprius Technologies Inc.,Electrical Equipment & Parts,650.03M
AMPY,Amplify Energy Corp.,Oil & Gas E&P,276.70M
AMR,Alpha Metallurgical Resources Inc.,Coking Coal,2.10B
AMRC,Ameresco Inc.,Engineering & Construction,2.40B
AMRK,A-Mark Precious Metals Inc.,Capital Markets,816.45M
AMRN,Amarin Corporation plc,Biotechnology,521.96M
AMRS,Amyris Inc.,Specialty Chemicals,347.63M
AMRX,Amneal Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,778.91M
AMS,American Shared Hospital Services,Medical Care Facilities,17.77M
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,179.94M
AMSF,AMERISAFE Inc.,Insurance - Specialty,1.02B
AMST,Amesite Inc.,Software - Application,11.02M
AMSWA,American Software Inc.,Software - Application,444.54M
AMT,American Tower Corporation,REIT - Specialty,89.08B
AMTB,Amerant Bancorp Inc.,Banks - Regional,653.96M
AMTD,AMTD IDEA Group,Asset Management,3.76B
AMTI,Applied Molecular Transport Inc.,Biotechnology,10.23M
AMTX,Aemetis Inc.,Oil & Gas Refining & Marketing,180.51M
AMWD,American Woodmark Corporation,'''Furnishings, Fixtures & Appliances''',1.06B
AMWL,American Well Corporation,Health Information Services,661.38M
AMX,América Móvil SAB de CV,Telecom Services,69.11B
AMZN,Amazon.com Inc.,Internet Retail,1.274.85B
AN,AutoNation Inc.,Auto & Truck Dealerships,6.37B
ANAB,AnaptysBio Inc.,Biotechnology,495.84M
ANDE,The Andersons Inc.,Food Distribution,1.39B
ANEB,Anebulo Pharmaceuticals Inc.,Biotechnology,64.34M
ANET,Arista Networks Inc.,Computer Hardware,49.79B
ANF,Abercrombie & Fitch Co.,Apparel Retail,1.59B
ANGH,Anghami Inc.,Entertainment,28.35M
ANGI,Angi Inc.,Internet Content & Information,1.59B
ANGN,Angion Biomedica Corp.,Biotechnology,30.11M
ANGO,AngioDynamics Inc.,Medical Instruments & Supplies,390.56M
ANIK,Anika Therapeutics Inc.,Medical Devices,402.43M
ANIP,ANI Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,967.04M
ANIX,Anixa Biosciences Inc.,Biotechnology,102.98M
ANNX,Annexon Inc.,Biotechnology,158.19M
ANSS,ANSYS Inc.,Software - Application,28.16B
ANTE,AirNet Technology Inc.,Telecom Services,9.73M
ANTX,AN2 Therapeutics Inc.,Biotechnology,124.52M
ANVS,Annovis Bio Inc.,Biotechnology,119.32M
ANY,Sphere 3D Corp.,Software - Application,25.19M
ANZU,Anzu Special Acquisition Corp I,Shell Companies,151.17M
AOGO,Arogo Capital Acquisition Corp.,Shell Companies,80.08M
AOMR,Angel Oak Mortgage Inc.,REIT - Mortgage,188.09M
AON,Aon plc,Insurance Brokers,64.09B
AORT,Artivion Inc.,Medical Devices,624.98M
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,10.29B
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,787.83M
AOUT,American Outdoor Brands Inc.,Leisure,99.72M
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,61.51M
APA,APA Corporation,Oil & Gas E&P,10.39B
APAC,StoneBridge Acquisition Corporation,Shell Companies,86.12M
APAM,Artisan Partners Asset Management Inc.,Asset Management,2.27B
APCA,AP Acquisition Corp.,Shell Companies,229.43M
APCX,AppTech Payments Corp.,Software - Infrastructure,32.82M
APD,Air Products and Chemicals Inc.,Specialty Chemicals,62.43B
APDN,Applied DNA Sciences Inc.,Diagnostics & Research,16.26M
APEI,American Public Education Inc.,Education & Training Services,88.24M
APG,APi Group Corporation,Engineering & Construction,5.52B
APGB,Apollo Strategic Growth Capital II,Shell Companies,360.04M
APGN,Apexigen Inc.,Biotechnology,13.82M
APH,Amphenol Corporation,Electronic Components,46.18B
API,Agora Inc.,Software - Application,305.23M
APLD,Applied Digital Corporation,Capital Markets,886.20M
APLE,Apple Hospitality REIT Inc.,REIT - Hotel & Motel,3.52B
APLM,Apollomics Inc.,Biotechnology,68.75M
APLS,Apellis Pharmaceuticals Inc.,Biotechnology,10.24B
APLT,Applied Therapeutics Inc.,Biotechnology,78.10M
APM,Aptorum Group Limited,Biotechnology,12.56M
APMI,AxonPrime Infrastructure Acquisition Corporation,Shell Companies,194.25M
APO,Apollo Global Management Inc.,Asset Management,39.55B
APOG,Apogee Enterprises Inc.,Building Products & Equipment,889.86M
